TimerID   ModuleName  Interv(ms)  Type      StartTime   EndTime     CurExpire   NextExpire  CB(type:func)   
34        MW_IW       1000        cycle     0           0           1322697629  1322697630  com:0xb5f6277c 
33        MW_IW       100         cycle     0           0           1322697628  1322697628  com:0xb5fe6188 
32        MW_STOR_MCP 00:00:00    day       1322697600  2145830400  1322784000  1322870400  com:0x173f74 
31        MW_STOR_MCP 90000000    once      0           0           1322787613  0           ext:0x173ef4   
30        MW_STOR_MCP 90000000    once      0           0           1322787613  0           ext:0x173ef4   
29        MW_CTRL     120000      cycle     0           0           1322697733  1322697853  com:0x49e6c 
28        MW_CTRL     10000       cycle     0           0           1322697633  1322697643  com:0x3c108 
27        MW_CTRL     86400000    once      0           0           1322784013  0           com:0x5b914 
26        MW_CTRL     200000      once      0           0           1322697812  4294967295  com:0x3cec8 
25        AM_SIP      10000       cycle     0           0           1322697631  1322697641  com:0x26c15c 
24        MW_CTRL     03:00:00    day       0           2145830400  1322708399  1322794799  com:0x6be54 
23        MW_CTRL     04:13:17    day       0           2145830400  1322712796  1322799196  com:0x3ba34 
22        MW_CTRL     60000       cycle     0           0           1322697671  1322697731  com:0x3ca20 
21        MW_CTRL     3000        cycle     0           0           1322697629  1322697632  com:0xb65a0438 
20        MW_SDK      15000       cycle     0           0           1322697640  1322697655  com:0xb66e3d20 
19        MW_SDK      90000       cycle     0           0           1322697700  1322697790  com:0xb66e0500 
17        MW_ALM      10000       cycle     0           0           1322697629  1322697639  com:0x11eb2c 
16        MW_ALM      200         cycle     0           0           1322697628  1322697628  com:0x12da0c 
14        MW_STOR_MCP 90000000    once      0           0           1322787606  4294967295  ext:0x173ef4   
12        MW_STOR_MCP 60000       cycle     0           0           1322697666  1322697726  com:0x11208c 
10        MW_STOR_MCP 10000       cycle     0           0           1322697636  1322697646  com:0x2c8bbc 
9         MW_STOR_MCP 300000      cycle     0           0           1322697906  1322698206  com:0x173f64 
8         MW_STOR_MCP 60000       cycle     0           0           1322697666  1322697726  com:0x2124c8 
7         MW_STOR_MCP 20000       once      0           0           0           0           com:0x31f884 
6         MW_STOR_MCP 100         cycle     0           0           1322697628  1322697628  com:0x21a0c4 
5         MW_STOR_MCP 100         cycle     0           0           1322697628  1322697628  com:0x215dec 
4         MW_STOR_MCP 100         cycle     0           0           1322697628  1322697628  com:0x215dec 
3         MW_STOR_MCP 60000       cycle     0           0           1322697664  1322697724  com:0x215abc 
1         MW_PTZ      10000       cycle     0           0           1322697632  1322697642  com:0x33b11c 
total: 29 
