Sensor,产品名,产品类型,ADN阈值
SC2310,ET-S51H@B,IPC,ET-S51H_SC2310,
SC2310,ET-B31H-M@B,IPC,ET-S51H_SC2310,
SC2310,ET-B32L,IPC,ET-S51H_SC2310,
SC2310,ET-B32F,IPC,ET-S51H_SC2310,
SC2310,DET-231H-M-WH,IPC,ET-S51H_SC2310,
SC2310,DET-B31F-M-WH@TWD,IPC,ET-S51H_SC2310,
SC2310,ET-B31H-M-WH,IPC,ET-S51H_SC2310,
SC2310,ET-B31H-WH,IPC,ET-S51H_SC2310,
SC2310,DET-532L-WH,IPC,ET-S51H_SC2310,
SC2310,KTP-ET-B32L-WH@W,IPC,ET-S51H_SC2310,
SC2310,ET-B32L-WH@W-NB,IPC,ET-S51H_SC2310,
SC2310,OET-213H-WH,IPC,ET-S51H_SC2310,
SC2310,OET-223L-WH,IPC,ET-S51H_SC2310,
SC2310,OET-213H-NB-WH,IPC,ET-S51H_SC2310,
SC2310,OET-223L-NB-WH,IPC,ET-S51H_SC2310,
NotFound,UNIPC-C,IPC,ET-S51H_SC2310,
