安装高度(厘米),安装角度(度),"距离类型(1,2,3)",灯组最大功率(W),,
600,0,1,1.5,,
变倍,距离(厘米),红外灯组1,红外灯组2,红外灯组3,红外灯组4
1,346,0,0,0,0
1,600,0,0,0,0
1,1039,0,0,0,0
1,1648,0,0,0,0
1,2239,0,0,0,0
1,3087,0,0,0,0
1,4500,0,0,0,0
1,4501,0,0,0,0
1.102,346,0,0,0,0
1.102,600,0,0,0,0
1.102,1039,0,0,0,0
1.102,1648,0,0,0,0
1.102,2239,0,0,0,0
1.102,3087,0,0,0,0
1.102,4500,0,0,0,0
1.102,4501,0,0,0,0
1.206,346,0,0,0,0
1.206,600,0,0,0,0
1.206,1039,0,0,0,0
1.206,1648,0,0,0,0
1.206,2239,0,0,0,0
1.206,3087,0,0,0,0
1.206,4500,0,0,0,0
1.206,4501,0,0,0,0
1.308,346,0,0,0,0
1.308,600,0,0,0,0
1.308,1039,0,0,0,0
1.308,1648,0,0,0,0
1.308,2239,0,0,0,0
1.308,3087,0,0,0,0
1.308,4500,0,0,0,0
1.308,4501,0,0,0,0
1.501,346,0,0,0,0
1.501,600,0,0,0,0
1.501,1039,0,0,0,0
1.501,1648,0,0,0,0
1.501,2239,0,0,0,0
1.501,3087,0,0,0,0
1.501,4500,0,0,0,0
1.501,4501,0,0,0,0
1.817,346,0,0,0,0
1.817,600,0,0,0,0
1.817,1039,0,0,0,0
1.817,1648,0,0,0,0
1.817,2239,0,0,0,0
1.817,3087,0,0,0,0
1.817,4500,0,0,0,0
1.817,4501,0,0,0,0
1.911,346,0,0,0,0
1.911,600,0,0,0,0
1.911,1039,0,0,0,0
1.911,1648,0,0,0,0
1.911,2239,0,0,0,0
1.911,3087,0,0,0,0
1.911,4500,0,0,0,0
1.911,4501,0,0,0,0
2.013,346,0,0,0,0
2.013,600,0,0,0,0
2.013,1039,0,0,0,0
2.013,1648,0,0,0,0
2.013,2239,0,0,0,0
2.013,3087,0,0,0,0
2.013,4500,0,0,0,0
2.013,4501,0,0,0,0
2.104,346,0,0,0,0
2.104,600,0,0,0,0
2.104,1039,0,0,0,0
2.104,1648,0,0,0,0
2.104,2239,0,0,0,0
2.104,3087,0,0,0,0
2.104,4500,0,0,0,0
2.104,4501,0,0,0,0
2.202,346,0,0,0,0
2.202,600,0,0,0,0
2.202,1039,0,0,0,0
2.202,1648,0,0,0,0
2.202,2239,0,0,0,0
2.202,3087,0,0,0,0
2.202,4500,0,0,0,0
2.202,4501,0,0,0,0
2.517,346,0,0,0,0
2.517,600,0,0,0,0
2.517,1039,0,0,0,0
2.517,1648,0,0,0,0
2.517,2239,0,0,0,0
2.517,3087,0,0,0,0
2.517,4500,0,0,0,0
2.517,4501,0,0,0,0
3.006,346,0,0,0,0
3.006,600,0,0,0,0
3.006,1039,0,0,0,0
3.006,1648,0,0,0,0
3.006,2239,0,0,0,0
3.006,3087,0,0,0,0
3.006,4500,0,0,0,0
3.006,4501,0,0,0,0
4.013,346,0,0,0,0
4.013,600,0,0,0,0
4.013,1039,0,0,0,0
4.013,1648,0,0,0,0
4.013,2239,0,0,0,0
4.013,3087,0,0,0,0
4.013,4500,0,0,0,0
4.013,4501,0,0,0,0
5.013,346,0,0,0,0
5.013,600,0,0,0,0
5.013,1039,0,0,0,0
5.013,1648,0,0,0,0
5.013,2239,0,0,0,0
5.013,3087,0,0,0,0
5.013,4500,0,0,0,0
5.013,4501,0,0,0,0
6.012,346,0,0,0,0
6.012,600,0,0,0,0
6.012,1039,0,0,0,0
6.012,1648,0,0,0,0
6.012,2239,0,0,0,0
6.012,3087,0,0,0,0
6.012,4500,0,0,0,0
6.012,4501,0,0,0,0
7.074,346,0,0,0,0
7.074,600,0,0,0,0
7.074,1039,0,0,0,0
7.074,1648,0,0,0,0
7.074,2239,0,0,0,0
7.074,3087,0,0,0,0
7.074,4500,0,0,0,0
7.074,4501,0,0,0,0
8.004,346,0,0,0,0
8.004,600,0,0,0,0
8.004,1039,0,0,0,0
8.004,1648,0,0,0,0
8.004,2239,0,0,0,0
8.004,3087,0,0,0,0
8.004,4500,0,0,0,0
8.004,4501,0,0,0,0
9.127,346,0,0,0,0
9.127,600,0,0,0,0
9.127,1039,0,0,0,0
9.127,1648,0,0,0,0
9.127,2239,0,0,0,0
9.127,3087,0,0,0,0
9.127,4500,0,0,0,0
9.127,4501,0,0,0,0
10.085,346,0,0,0,0
10.085,600,0,0,0,0
10.085,1039,0,0,0,0
10.085,1648,0,0,0,0
10.085,2239,0,0,0,0
10.085,3087,0,0,0,0
10.085,4500,0,0,0,0
10.085,4501,0,0,0,0
11.193,346,0,0,0,0
11.193,600,0,0,0,0
11.193,1039,0,0,0,0
11.193,1648,0,0,0,0
11.193,2239,0,0,0,0
11.193,3087,0,0,0,0
11.193,4500,0,0,0,0
11.193,4501,0,0,0,0
12.042,346,0,0,0,0
12.042,600,0,0,0,0
12.042,1039,0,0,0,0
12.042,1648,0,0,0,0
12.042,2239,0,0,0,0
12.042,3087,0,0,0,0
12.042,4500,0,0,0,0
12.042,4501,0,0,0,0
15.209,346,0,0,0,0
15.209,600,0,0,0,0
15.209,1039,0,0,0,0
15.209,1648,0,0,0,0
15.209,2239,0,0,0,0
15.209,3087,0,0,0,0
15.209,4500,0,0,0,0
15.209,4501,0,0,0,0
18.209,346,0,0,0,0
18.209,600,0,0,0,0
18.209,1039,0,0,0,0
18.209,1648,0,0,0,0
18.209,2239,0,0,0,0
18.209,3087,0,0,0,0
18.209,4500,0,0,0,0
18.209,4501,0,0,0,0
