KeyPointNum,34
KeyPointData,10,80,160,240,320,380,440,500,560,620,680,740,800,850,900,950,1000,1030,1060,1090,1120,1140,1160,1180,1200,1220,1240,1260,1270,1280,1290,1294,1300,1301,


ZoomNum,1302
NormalMapNum,7
IRMapNum,8

,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,IRMap,IRMap,IRMap,IRMap,IRMap,IRMap,IRMap,IRMap,
Distance(mm),10,100,150,300,500,1000,6000,10,100,150,200,300,500,1000,6000,
0,3850,3968,3976,3983,3984,3989,3991,3817,3938,3944,3947,3950,3952,3954,3956,
1,3847,3965,3973,3980,3981,3986,3988,3814,3935,3941,3944,3947,3950,3951,3953,
2,3844,3962,3970,3977,3978,3983,3985,3810,3932,3939,3941,3944,3947,3948,3950,
3,3840,3960,3967,3974,3975,3980,3982,3807,3929,3936,3938,3941,3944,3945,3947,
4,3837,3957,3964,3971,3972,3977,3979,3804,3926,3933,3935,3938,3941,3943,3944,
5,3834,3954,3961,3968,3970,3974,3976,3801,3924,3930,3933,3935,3938,3940,3941,
6,3831,3951,3958,3965,3967,3972,3973,3798,3921,3927,3930,3932,3935,3937,3939,
7,3827,3948,3955,3962,3964,3969,3970,3795,3918,3924,3927,3929,3932,3934,3936,
8,3824,3945,3953,3959,3961,3966,3967,3791,3915,3921,3924,3926,3930,3931,3933,
9,3821,3942,3950,3956,3958,3963,3964,3788,3912,3918,3921,3923,3927,3928,3930,
10,3817,3939,3947,3953,3955,3960,3961,3785,3909,3916,3918,3920,3924,3925,3927,
11,3814,3936,3944,3950,3952,3957,3958,3782,3906,3913,3915,3917,3921,3923,3924,
12,3811,3933,3941,3947,3949,3954,3955,3779,3903,3910,3913,3914,3918,3920,3922,
13,3807,3931,3938,3944,3946,3951,3952,3775,3900,3907,3910,3911,3915,3917,3919,
14,3804,3928,3935,3941,3943,3948,3949,3772,3898,3904,3907,3908,3912,3914,3916,
15,3801,3925,3932,3939,3940,3945,3947,3769,3895,3901,3904,3905,3910,3911,3913,
16,3798,3922,3929,3936,3937,3942,3944,3766,3892,3898,3901,3902,3907,3908,3910,
17,3794,3919,3926,3933,3934,3939,3941,3763,3889,3895,3898,3899,3904,3906,3907,
18,3791,3916,3923,3930,3932,3936,3938,3759,3886,3892,3895,3896,3901,3903,3905,
19,3788,3913,3920,3927,3929,3933,3935,3756,3883,3890,3893,3893,3898,3900,3902,
20,3784,3910,3917,3924,3926,3931,3932,3753,3880,3887,3890,3890,3895,3897,3899,
21,3781,3907,3914,3921,3923,3928,3929,3750,3877,3884,3887,3887,3893,3894,3896,
22,3778,3904,3911,3918,3920,3925,3926,3747,3875,3881,3884,3884,3890,3891,3893,
23,3774,3901,3908,3915,3917,3922,3923,3744,3872,3878,3881,3881,3887,3888,3890,
24,3771,3899,3905,3912,3914,3919,3920,3740,3869,3875,3878,3878,3884,3886,3888,
25,3768,3896,3902,3909,3911,3916,3917,3737,3866,3872,3876,3875,3881,3883,3885,
26,3765,3893,3899,3906,3908,3913,3914,3734,3863,3869,3873,3872,3878,3880,3882,
