KeyPointNum,33
KeyPointData,20,120,220,320,420,520,620,720,820,920,1020,1120,1220,1320,1420,1520,1580,1630,1680,1720,1760,1800,1840,1880,1910,1940,1960,1970,1980,1990,1995,1998,2000,


ZoomNum,2001
NormalMapNum,6
IRMapNum,5

,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,IRMap,IRMap,IRMap,IRMap,IRMap,
Distance(mm),100,150,300,500,1000,6000,150,300,500,1000,6000,
0,9434,9446,9458,9464,9468,9472,9449,9462,9467,9471,9475,
1,9430,9442,9455,9460,9464,9468,9445,9458,9464,9468,9472,
2,9426,9438,9451,9457,9461,9465,9441,9454,9460,9464,9468,
3,9422,9435,9447,9453,9457,9461,9438,9451,9456,9460,9464,
4,9419,9431,9444,9449,9453,9457,9434,9447,9453,9457,9461,
5,9415,9427,9440,9446,9450,9454,9430,9443,9449,9453,9457,
6,9411,9424,9436,9442,9446,9450,9427,9440,9445,9449,9453,
7,9408,9420,9433,9438,9442,9446,9423,9436,9442,9446,9450,
8,9404,9416,9429,9435,9439,9443,9419,9433,9438,9442,9446,
9,9400,9412,9425,9431,9435,9439,9416,9429,9434,9439,9442,
10,9396,9409,9422,9427,9431,9436,9412,9425,9431,9435,9439,
11,9393,9405,9418,9424,9428,9432,9408,9422,9427,9431,9435,
12,9389,9401,9414,9420,9424,9428,9405,9418,9423,9428,9431,
13,9385,9398,9411,9416,9420,9425,9401,9414,9420,9424,9428,
14,9381,9394,9407,9412,9417,9421,9397,9411,9416,9420,9424,
15,9378,9390,9403,9409,9413,9417,9394,9407,9412,9417,9420,
16,9374,9387,9400,9405,9409,9414,9390,9403,9409,9413,9417,
17,9370,9383,9396,9401,9406,9410,9386,9400,9405,9409,9413,
18,9366,9379,9392,9398,9402,9406,9383,9396,9402,9406,9410,
19,9363,9376,9389,9394,9398,9403,9379,9393,9398,9402,9406,
20,9359,9372,9385,9390,9395,9399,9375,9389,9394,9399,9402,
21,9355,9368,9381,9387,9391,9395,9372,9385,9391,9395,9399,
22,9352,9365,9378,9383,9387,9392,9368,9382,9387,9391,9395,
23,9348,9361,9374,9379,9384,9388,9364,9378,9383,9388,9391,
24,9344,9357,9370,9376,9380,9384,9360,9374,9380,9384,9388,
25,9340,9354,9367,9372,9376,9381,9357,9371,9376,9380,9384,
26,9337,9350,9363,9368,9373,9377,9353,9367,9372,9377,9380,
27,9333,9346,9359,9365,9369,9374,9349,9364,9369,9373,9377,
28,9329,9343,9356,9361,9365,9370,9346,9360,9365,9370,9373,
29,9325,9339,9352,9357,9362,9366,9342,9356,9361,9366,9369,
