KeyPointNum,23
KeyPointData,20,500,980,1050,1110,1170,1210,1250,1290,1320,1352,1380,1410,1440,1470,1500,1540,1580,1620,1660,1690,1710,1721,


ZoomNum,1722
NormalMapNum,7
IRMapNum,7

,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,IRMap,IRMap,IRMap,IRMap,IRMap,IRMap,IRMap,
Distance(mm),100,150,200,300,600,1000,6000,100,150,200,300,600,1000,6000,
0,3940,3946,3949,3952,3954,3963,3960,3940,3946,3949,3952,3954,3963,3960,
1,3938,3944,3947,3950,3951,3955,3958,3938,3944,3947,3950,3951,3955,3958,
2,3936,3942,3945,3948,3949,3953,3956,3936,3942,3945,3948,3949,3953,3956,
3,3934,3940,3942,3946,3947,3950,3954,3934,3940,3942,3946,3947,3950,3954,
4,3931,3938,3940,3944,3945,3948,3952,3931,3938,3940,3944,3945,3948,3952,
5,3929,3936,3938,3941,3943,3946,3949,3929,3936,3938,3941,3943,3946,3949,
6,3927,3934,3936,3939,3941,3944,3947,3927,3934,3936,3939,3941,3944,3947,
7,3925,3932,3934,3937,3939,3942,3945,3925,3932,3934,3937,3939,3942,3945,
8,3923,3929,3932,3935,3937,3940,3943,3923,3929,3932,3935,3937,3940,3943,
9,3921,3927,3930,3933,3935,3938,3941,3921,3927,3930,3933,3935,3938,3941,
10,3919,3925,3928,3931,3932,3936,3939,3919,3925,3928,3931,3932,3936,3939,
11,3916,3923,3925,3929,3930,3934,3937,3916,3923,3925,3929,3930,3934,3937,
12,3914,3921,3923,3927,3928,3932,3935,3914,3921,3923,3927,3928,3932,3935,
13,3912,3919,3921,3924,3926,3929,3932,3912,3919,3921,3924,3926,3929,3932,
14,3910,3917,3919,3922,3924,3927,3930,3910,3917,3919,3922,3924,3927,3930,
15,3908,3914,3917,3920,3922,3925,3928,3908,3914,3917,3920,3922,3925,3928,
16,3906,3912,3915,3918,3920,3923,3926,3906,3912,3915,3918,3920,3923,3926,
17,3904,3910,3913,3916,3918,3921,3924,3904,3910,3913,3916,3918,3921,3924,
18,3901,3908,3910,3914,3916,3919,3922,3901,3908,3910,3914,3916,3919,3922,
19,3899,3906,3908,3912,3913,3917,3920,3899,3906,3908,3912,3913,3917,3920,
20,3897,3904,3906,3910,3911,3915,3918,3897,3904,3906,3910,3911,3915,3918,
21,3895,3902,3904,3907,3909,3913,3915,3895,3902,3904,3907,3909,3913,3915,
22,3893,3900,3902,3905,3907,3911,3913,3893,3900,3902,3905,3907,3911,3913,
23,3891,3897,3900,3903,3905,3908,3911,3891,3897,3900,3903,3905,3908,3911,
24,3889,3895,3898,3901,3903,3906,3909,3889,3895,3898,3901,3903,3906,3909,
25,3886,3893,3896,3899,3901,3904,3907,3886,3893,3896,3899,3901,3904,3907,
26,3884,3891,3893,3897,3899,3902,3905,3884,3891,3893,3897,3899,3902,3905,
27,3882,3889,3891,3895,3897,3900,3903,3882,3889,3891,3895,3897,3900,3903,
28,3880,3887,3889,3893,3894,3898,3901,3880,3887,3889,3893,3894,3898,3901,
29,3878,3885,3887,3891,3892,3896,3899,3878,3885,3887,3891,3892,3896,3899,
30,3876,3883,3885,3888,3890,3894,3896,3876,3883,3885,3888,3890,3894,3896,
31,3874,3880,3883,3886,3888,3892,3894,3874,3880,3883,3886,3888,3892,3894,
32,3871,3878,3881,3884,3886,3889,3892,3871,3878,3881,3884,3886,3889,3892,
33,3869,3876,3879,3882,3884,3887,3890,3869,3876,3879,3882,3884,3887,3890,
34,3867,3874,3876,3880,3882,3885,3888,3867,3874,3876,3880,3882,3885,3888,
35,3865,3872,3874,3878,3880,3883,3886,3865,3872,3874,3878,3880,3883,3886,
36,3863,3870,3872,3876,3878,3881,3884,3863,3870,3872,3876,3878,3881,3884,
37,3861,3868,3870,3874,3875,3879,3882,3861,3868,3870,3874,3875,3879,3882,
38,3859,3866,3868,3871,3873,3877,3879,3859,3866,3868,3871,3873,3877,3879,
39,3856,3863,3866,3869,3871,3875,3877,3856,3863,3866,3869,3871,3875,3877,
40,3854,3861,3864,3867,3869,3873,3875,3854,3861,3864,3867,3869,3873,3875,
41,3852,3859,3862,3865,3867,3871,3873,3852,3859,3862,3865,3867,3871,3873,
42,3850,3857,3859,3863,3865,3868,3871,3850,3857,3859,3863,3865,3868,3871,
43,3848,3855,3857,3861,3863,3866,3869,3848,3855,3857,3861,3863,3866,3869,
44,3846,3853,3855,3859,3861,3864,3867,3846,3853,3855,3859,3861,3864,3867,
45,3844,3851,3853,3857,3859,3862,3865,3844,3851,3853,3857,3859,3862,3865,
46,3841,3849,3851,3854,3856,3860,3862,3841,3849,3851,3854,3856,3860,3862,
47,3839,3846,3849,3852,3854,3858,3860,3839,3846,3849,3852,3854,3858,3860,
48,3837,3844,3847,3850,3852,3856,3858,3837,3844,3847,3850,3852,3856,3858,
49,3835,3842,3845,3848,3850,3854,3856,3835,3842,3845,3848,3850,3854,3856,
50,3833,3840,3842,3846,3848,3852,3854,3833,3840,3842,3846,3848,3852,3854,
51,3831,3838,3840,3844,3846,3849,3852,3831,3838,3840,3844,3846,3849,3852,
52,3829,3836,3838,3842,3844,3847,3850,3829,3836,3838,3842,3844,3847,3850,
53,3826,3834,3836,3840,3842,3845,3848,3826,3834,3836,3840,3842,3845,3848,
54,3824,3831,3834,3838,3840,3843,3846,3824,3831,3834,3838,3840,3843,3846,
55,3822,3829,3832,3835,3837,3841,3843,3822,3829,3832,3835,3837,3841,3843,
56,3820,3827,3830,3833,3835,3839,3841,3820,3827,3830,3833,3835,3839,3841,
57,3818,3825,3828,3831,3833,3837,3839,3818,3825,3828,3831,3833,3837,3839,
58,3816,3823,3825,3829,3831,3835,3837,3816,3823,3825,3829,3831,3835,3837,
59,3814,3821,3823,3827,3829,3833,3835,3814,3821,3823,3827,3829,3833,3835,
60,3811,3819,3821,3825,3827,3831,3833,3811,3819,3821,3825,3827,3831,3833,
61,3809,3817,3819,3823,3825,3828,3831,3809,3817,3819,3823,3825,3828,3831,
62,3807,3814,3817,3821,3823,3826,3829,3807,3814,3817,3821,3823,3826,3829,
63,3805,3812,3815,3818,3821,3824,3826,3805,3812,3815,3818,3821,3824,3826,
64,3803,3810,3813,3816,3818,3822,3824,3803,3810,3813,3816,3818,3822,3824,
65,3801,3808,3810,3814,3816,3820,3822,3801,3808,3810,3814,3816,3820,3822,
66,3798,3806,3808,3812,3814,3818,3820,3798,3806,3808,3812,3814,3818,3820,
67,3796,3804,3806,3810,3812,3816,3818,3796,3804,3806,3810,3812,3816,3818,
68,3794,3802,3804,3808,3810,3814,3816,3794,3802,3804,3808,3810,3814,3816,
69,3792,3800,3802,3806,3808,3812,3814,3792,3800,3802,3806,3808,3812,3814,
70,3790,3797,3800,3804,3806,3810,3812,3790,3797,3800,3804,3806,3810,3812,
71,3788,3795,3798,3801,3804,3807,3809,3788,3795,3798,3801,3804,3807,3809,
72,3786,3793,3796,3799,3802,3805,3807,3786,3793,3796,3799,3802,3805,3807,
73,3783,3791,3793,3797,3799,3803,3805,3783,3791,3793,3797,3799,3803,3805,
74,3781,3789,3791,3795,3797,3801,3803,3781,3789,3791,3795,3797,3801,3803,
75,3779,3787,3789,3793,3795,3799,3801,3779,3787,3789,3793,3795,3799,3801,
76,3777,3785,3787,3791,3793,3797,3799,3777,3785,3787,3791,3793,3797,3799,
77,3775,3783,3785,3789,3791,3795,3797,3775,3783,3785,3789,3791,3795,3797,
78,3773,3780,3783,3787,3789,3793,3795,3773,3780,3783,3787,3789,3793,3795,
79,3771,3778,3781,3785,3787,3791,3793,3771,3778,3781,3785,3787,3791,3793,
80,3768,3776,3779,3782,3785,3788,3790,3768,3776,3779,3782,3785,3788,3790,
81,3766,3774,3776,3780,3783,3786,3788,3766,3774,3776,3780,3783,3786,3788,
82,3764,3772,3774,3778,3780,3784,3786,3764,3772,3774,3778,3780,3784,3786,
83,3762,3770,3772,3776,3778,3782,3784,3762,3770,3772,3776,3778,3782,3784,
84,3760,3768,3770,3774,3776,3780,3782,3760,3768,3770,3774,3776,3780,3782,
85,3758,3766,3768,3772,3774,3778,3780,3758,3766,3768,3772,3774,3778,3780,
86,3756,3763,3766,3770,3772,3776,3778,3756,3763,3766,3770,3772,3776,3778,
87,3753,3761,3764,3768,3770,3774,3776,3753,3761,3764,3768,3770,3774,3776,
88,3751,3759,3762,3765,3768,3772,3773,3751,3759,3762,3765,3768,3772,3773,
89,3749,3757,3759,3763,3766,3770,3771,3749,3757,3759,3763,3766,3770,3771,
90,3747,3755,3757,3761,3764,3767,3769,3747,3755,3757,3761,3764,3767,3769,
91,3745,3753,3755,3759,3761,3765,3767,3745,3753,3755,3759,3761,3765,3767,
92,3743,3751,3753,3757,3759,3763,3765,3743,3751,3753,3757,3759,3763,3765,
93,3741,3748,3751,3755,3757,3761,3763,3741,3748,3751,3755,3757,3761,3763,
94,3738,3746,3749,3753,3755,3759,3761,3738,3746,3749,3753,3755,3759,3761,
95,3736,3744,3747,3751,3753,3757,3759,3736,3744,3747,3751,3753,3757,3759,
96,3734,3742,3745,3748,3751,3755,3756,3734,3742,3745,3748,3751,3755,3756,
97,3732,3740,3742,3746,3749,3753,3754,3732,3740,3742,3746,3749,3753,3754,
98,3730,3738,3740,3744,3747,3751,3752,3730,3738,3740,3744,3747,3751,3752,
99,3728,3736,3738,3742,3745,3749,3750,3728,3736,3738,3742,3745,3749,3750,
100,3726,3734,3736,3740,3742,3746,3748,3725,3733,3735,3739,3742,3746,3747,
101,3723,3731,3734,3738,3740,3744,3746,3723,3731,3733,3737,3739,3743,3745,
102,3721,3729,3732,3736,3738,3742,3744,3720,3728,3731,3735,3737,3741,3743,
103,3719,3727,3729,3733,3736,3740,3741,3718,3726,3729,3733,3735,3739,3741,
104,3717,3725,3727,3731,3734,3738,3739,3716,3724,3726,3730,3733,3737,3738,
105,3714,3722,3725,3729,3731,3735,3737,3714,3722,3724,3728,3731,3735,3736,
106,3712,3720,3723,3727,3729,3733,3735,3711,3719,3722,3726,3728,3732,3734,
107,3710,3718,3720,3724,3727,3731,3733,3709,3717,3720,3724,3726,3730,3732,
108,3708,3716,3718,3722,3725,3729,3730,3707,3715,3717,3721,3724,3728,3730,
109,3705,3714,3716,3720,3723,3727,3728,3705,3713,3715,3719,3722,3726,3727,
110,3703,3711,3714,3718,3720,3724,3726,3702,3710,3713,3717,3720,3724,3725,
111,3701,3709,3712,3716,3718,3722,3724,3700,3708,3711,3715,3717,3721,3723,
112,3699,3707,3709,3713,3716,3720,3722,3698,3706,3708,3713,3715,3719,3721,
113,3696,3705,3707,3711,3714,3718,3719,3695,3704,3706,3710,3713,3717,3719,
114,3694,3702,3705,3709,3711,3715,3717,3693,3702,3704,3708,3711,3715,3716,
115,3692,3700,3703,3707,3709,3713,3715,3691,3699,3702,3706,3708,3712,3714,
116,3690,3698,3700,3705,3707,3711,3713,3689,3697,3700,3704,3706,3710,3712,
117,3687,3696,3698,3702,3705,3709,3711,3686,3695,3697,3701,3704,3708,3710,
118,3685,3693,3696,3700,3703,3707,3708,3684,3693,3695,3699,3702,3706,3708,
119,3683,3691,3694,3698,3700,3704,3706,3682,3690,3693,3697,3700,3704,3705,
120,3680,3689,3692,3696,3698,3702,3704,3680,3688,3691,3695,3697,3701,3703,
121,3678,3687,3689,3693,3696,3700,3702,3677,3686,3688,3693,3695,3699,3701,
122,3676,3684,3687,3691,3694,3698,3700,3675,3684,3686,3690,3693,3697,3699,
123,3674,3682,3685,3689,3692,3696,3697,3673,3681,3684,3688,3691,3695,3696,
124,3671,3680,3683,3687,3689,3693,3695,3671,3679,3682,3686,3688,3692,3694,
125,3669,3678,3680,3685,3687,3691,3693,3668,3677,3679,3684,3686,3690,3692,
126,3667,3676,3678,3682,3685,3689,3691,3666,3675,3677,3681,3684,3688,3690,
127,3665,3673,3676,3680,3683,3687,3689,3664,3672,3675,3679,3682,3686,3688,
128,3662,3671,3674,3678,3681,3685,3686,3661,3670,3673,3677,3680,3684,3685,
129,3660,3669,3672,3676,3678,3682,3684,3659,3668,3671,3675,3677,3681,3683,
130,3658,3667,3669,3674,3676,3680,3682,3657,3666,3668,3673,3675,3679,3681,
131,3656,3664,3667,3671,3674,3678,3680,3655,3663,3666,3670,3673,3677,3679,
132,3653,3662,3665,3669,3672,3676,3678,3652,3661,3664,3668,3671,3675,3677,
133,3651,3660,3663,3667,3670,3674,3675,3650,3659,3662,3666,3669,3673,3674,
134,3649,3658,3660,3665,3667,3671,3673,3648,3657,3659,3664,3666,3670,3672,
135,3647,3655,3658,3662,3665,3669,3671,3646,3654,3657,3661,3664,3668,3670,
136,3644,3653,3656,3660,3663,3667,3669,3643,3652,3655,3659,3662,3666,3668,
