KeyPointNum,17
KeyPointData,0,12,24,35,47,59,79,98,118,137,169,200,232,284,353,527,689,


ZoomNum,690
NormalMapNum,7
IRMapNum,0

,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,
Distance(mm),100,150,200,300,500,1000,6000,
0,193,210,220,228,235,239,240,
1,232,249,260,267,274,278,279,
2,272,288,299,306,313,318,318,
3,311,327,338,346,352,357,358,
4,350,367,377,385,392,396,397,
5,389,406,417,424,431,436,436,
6,429,445,456,463,470,475,475,
7,468,485,495,503,510,514,515,
8,507,524,534,542,549,553,554,
9,546,563,574,581,588,593,593,
10,586,603,613,620,627,632,632,
11,625,642,652,660,667,671,672,
12,664,681,692,699,706,711,711,
13,703,721,731,738,745,750,750,
14,743,760,770,777,784,789,789,
15,782,799,809,817,824,828,829,
16,821,839,849,856,863,868,868,
17,860,878,888,895,902,907,907,
18,900,917,927,934,942,946,946,
19,939,957,966,974,981,986,985,
20,978,996,1006,1013,1020,1025,1025,
21,1017,1035,1045,1052,1059,1064,1064,
22,1057,1075,1084,1091,1099,1103,1103,
23,1096,1114,1124,1131,1138,1143,1142,
24,1135,1153,1163,1170,1177,1182,1182,
25,1174,1193,1202,1209,1216,1221,1221,
26,1214,1232,1241,1249,1256,1261,1260,
27,1253,1271,1281,1288,1295,1300,1299,
28,1292,1310,1320,1327,1334,1339,1339,
29,1331,1350,1359,1366,1374,1378,1378,
30,1371,1389,1398,1406,1413,1418,1417,
31,1410,1428,1438,1445,1452,1457,1456,
32,1449,1468,1477,1484,1491,1496,1495,
33,1488,1507,1516,1523,1531,1536,1535,
34,1528,1546,1556,1563,1570,1575,1574,
35,1567,1586,1595,1602,1609,1614,1613,
36,1606,1625,1634,1641,1648,1653,1652,
37,1645,1664,1673,1680,1688,1693,1692,
38,1685,1704,1713,1720,1727,1732,1731,
39,1724,1743,1752,1759,1766,1771,1770,
40,1763,1782,1791,1798,1806,1811,1809,
41,1802,1822,1830,1837,1845,1850,1849,
42,1842,1861,1870,1877,1884,1889,1888,
43,1881,1900,1909,1916,1923,1928,1927,
44,1920,1940,1948,1955,1963,1968,1966,
45,1959,1979,1988,1994,2002,2007,2005,
46,1999,2018,2027,2034,2041,2046,2045,
47,2038,2058,2066,2073,2080,2086,2084,
48,2077,2097,2105,2112,2120,2125,2123,
49,2116,2136,2145,2151,2159,2164,2162,
50,2156,2176,2184,2191,2198,2203,2202,
51,2195,2215,2223,2230,2238,2243,2241,
52,2234,2254,2262,2269,2277,2282,2280,
53,2273,2293,2302,2308,2316,2321,2319,
54,2313,2333,2341,2348,2355,2361,2359,
55,2352,2372,2380,2387,2395,2400,2398,
56,2391,2411,2419,2426,2434,2439,2437,
57,2415,2435,2443,2450,2458,2463,2461,
58,2439,2459,2467,2474,2482,2487,2485,
59,2463,2483,2491,2498,2506,2511,2509,
60,2487,2507,2515,2522,2530,2535,2533,
61,2512,2531,2539,2547,2554,2559,2557,
62,2536,2555,2563,2571,2578,2583,2581,
63,2560,2579,2587,2595,2602,2607,2605,
64,2584,2603,2611,2619,2626,2631,2630,
65,2608,2627,2635,2643,2650,2655,2654,
66,2632,2651,2659,2667,2674,2679,2678,
67,2656,2675,2683,2691,2698,2703,2702,
68,2680,2699,2707,2715,2722,2727,2726,
69,2704,2723,2731,2739,2746,2751,2750,
70,2728,2747,2755,2763,2770,2775,2774,
71,2752,2771,2779,2787,2794,2799,2798,
72,2776,2795,2803,2811,2818,2823,2822,
73,2800,2819,2827,2835,2842,2847,2846,
74,2824,2843,2851,2859,2866,2871,2870,
75,2848,2867,2875,2883,2890,2895,2894,
76,2872,2891,2899,2907,2914,2919,2919,
77,2897,2915,2923,2931,2938,2943,2943,
78,2921,2939,2947,2955,2962,2967,2967,
79,2945,2963,2971,2979,2986,2991,2991,
80,2969,2987,2995,3003,3010,3015,3015,
81,2993,3011,3019,3027,3034,3039,3039,
82,3017,3035,3043,3051,3058,3063,3063,
83,3041,3059,3067,3075,3082,3087,3087,
84,3065,3083,3091,3099,3106,3111,3111,
85,3089,3107,3115,3123,3130,3135,3135,
86,3113,3131,3139,3147,3154,3159,3159,
87,3137,3155,3163,3171,3178,3183,3184,
88,3161,3179,3187,3195,3202,3207,3208,
89,3185,3203,3211,3219,3226,3231,3232,
90,3209,3227,3235,3243,3250,3255,3256,
91,3233,3251,3259,3267,3274,3279,3280,
92,3258,3275,3283,3291,3298,3303,3304,
93,3282,3299,3307,3315,3322,3327,3328,
94,3306,3324,3331,3339,3346,3352,3352,
95,3330,3348,3355,3363,3370,3376,3376,
96,3354,3372,3379,3387,3394,3400,3400,
97,3378,3396,3403,3411,3418,3424,3424,
98,3402,3420,3427,3435,3442,3448,3448,
99,3426,3444,3451,3459,3466,3472,3473,
100,3450,3468,3475,3483,3490,3496,3497,
101,3474,3492,3499,3507,3514,3520,3521,
102,3498,3516,3523,3532,3538,3544,3545,
103,3522,3540,3547,3556,3562,3568,3569,
104,3546,3564,3571,3580,3586,3592,3593,
105,3570,3588,3595,3604,3610,3616,3617,
106,3594,3612,3619,3628,3634,3640,3641,
107,3618,3636,3643,3652,3658,3664,3665,
108,3643,3660,3667,3676,3682,3688,3689,
109,3667,3684,3691,3700,3706,3712,3713,
110,3691,3708,3715,3724,3730,3736,3738,
111,3715,3732,3739,3748,3754,3760,3762,
112,3739,3756,3763,3772,3778,3784,3786,
113,3763,3780,3787,3796,3802,3808,3810,
114,3787,3804,3811,3820,3826,3832,3834,
115,3811,3828,3835,3844,3850,3856,3858,
116,3835,3852,3859,3868,3874,3880,3882,
117,3859,3876,3883,3892,3898,3904,3906,
118,3883,3900,3907,3916,3922,3928,3930,
119,3907,3924,3931,3940,3946,3952,3954,
120,3931,3948,3955,3964,3970,3976,3978,
121,3955,3972,3979,3988,3994,4000,4003,
122,3979,3996,4003,4012,4018,4024,4027,
123,4003,4020,4027,4036,4042,4048,4051,
124,4028,4044,4051,4060,4066,4072,4075,
125,4052,4068,4075,4084,4090,4096,4099,
126,4076,4092,4099,4108,4114,4120,4123,
127,4100,4116,4123,4132,4138,4144,4147,
128,4124,4140,4147,4156,4162,4168,4171,
129,4148,4164,4171,4180,4186,4192,4195,
130,4172,4188,4195,4204,4210,4216,4219,
131,4196,4212,4219,4228,4234,4240,4243,
132,4220,4236,4243,4252,4258,4264,4267,
133,4244,4260,4267,4276,4282,4288,4292,
134,4268,4284,4291,4300,4306,4312,4316,
135,4292,4308,4315,4324,4330,4336,4340,
136,4316,4332,4339,4348,4354,4360,4364,
137,4330,4346,4354,4362,4369,4374,4379,
138,4345,4361,4368,4377,4383,4389,4393,
139,4359,4375,4382,4391,4397,4403,4408,
140,4373,4389,4396,4405,4412,4417,4422,
141,4388,4404,4411,4420,4426,4432,4437,
142,4402,4418,4425,4434,4440,4446,4451,
143,4416,4432,4439,4448,4455,4460,4466,
144,4430,4446,4454,4462,4469,4474,4480,
145,4445,4461,4468,4477,4483,4489,4495,
146,4459,4475,4482,4491,4498,4503,4509,
147,4473,4489,4497,4505,4512,4517,4524,
148,4488,4504,4511,4520,4526,4532,4538,
149,4502,4518,4525,4534,4540,4546,4553,
150,4516,4532,4540,4548,4555,4560,4567,
151,4531,4547,4554,4563,4569,4575,4582,
152,4545,4561,4568,4577,4583,4589,4596,
153,4559,4575,4583,4591,4598,4603,4611,
154,4573,4589,4597,4605,4612,4618,4626,
155,4588,4604,4611,4620,4626,4632,4640,
156,4602,4618,4625,4634,4641,4646,4655,
157,4616,4632,4640,4648,4655,4661,4669,
158,4631,4647,4654,4663,4669,4675,4684,
159,4645,4661,4668,4677,4684,4689,4698,
160,4659,4675,4683,4691,4698,4703,4713,
161,4674,4690,4697,4706,4712,4718,4727,
162,4688,4704,4711,4720,4727,4732,4742,
163,4702,4718,4726,4734,4741,4746,4756,
164,4717,4733,4740,4749,4755,4761,4771,
165,4731,4747,4754,4763,4769,4775,4785,
166,4745,4761,4769,4777,4784,4789,4800,
167,4759,4775,4783,4791,4798,4804,4814,
168,4774,4790,4797,4806,4812,4818,4829,
169,4788,4804,4811,4820,4827,4832,4843,
170,4802,4818,4826,4834,4841,4847,4858,
171,4817,4833,4840,4849,4855,4861,4872,
172,4831,4847,4854,4863,4870,4875,4887,
173,4845,4861,4869,4877,4884,4890,4902,
174,4860,4876,4883,4892,4898,4904,4916,
175,4874,4890,4897,4906,4913,4918,4931,
176,4888,4904,4912,4920,4927,4932,4945,
177,4902,4918,4926,4934,4941,4947,4960,
178,4917,4933,4940,4949,4956,4961,4974,
179,4931,4947,4955,4963,4970,4975,4989,
180,4945,4961,4969,4977,4984,4990,5003,
181,4960,4976,4983,4992,4998,5004,5018,
182,4974,4990,4998,5006,5013,5018,5032,
183,4988,5004,5012,5020,5027,5033,5047,
184,5003,5019,5026,5035,5041,5047,5061,
185,5017,5033,5040,5049,5056,5061,5076,
186,5031,5047,5055,5063,5070,5076,5090,
187,5046,5062,5069,5078,5084,5090,5105,
188,5060,5076,5083,5092,5099,5104,5119,
189,5074,5090,5098,5106,5113,5119,5134,
190,5088,5104,5112,5120,5127,5133,5149,
191,5103,5119,5126,5135,5142,5147,5163,
192,5117,5133,5141,5149,5156,5161,5178,
193,5131,5147,5155,5163,5170,5176,5192,
194,5146,5162,5169,5178,5184,5190,5207,
195,5160,5176,5184,5192,5199,5204,5221,
196,5174,5190,5198,5206,5213,5219,5236,
197,5189,5205,5212,5221,5227,5233,5250,
198,5203,5219,5227,5235,5242,5247,5265,
199,5217,5233,5241,5249,5256,5262,5279,
200,5231,5247,5255,5263,5270,5276,5294,
201,5246,5262,5269,5278,5285,5290,5308,
202,5260,5276,5284,5292,5299,5305,5323,
203,5274,5290,5298,5306,5313,5319,5337,
204,5289,5305,5312,5321,5328,5333,5352,
205,5303,5319,5327,5335,5342,5348,5366,
206,5317,5333,5341,5349,5356,5362,5381,
207,5332,5348,5355,5364,5371,5376,5395,
208,5346,5362,5370,5378,5385,5390,5410,
209,5360,5376,5384,5392,5399,5405,5425,
210,5374,5390,5398,5406,5413,5419,5439,
211,5389,5405,5413,5421,5428,5433,5454,
212,5403,5419,5427,5435,5442,5448,5468,
213,5417,5433,5441,5449,5456,5462,5483,
214,5432,5448,5456,5464,5471,5476,5497,
215,5446,5462,5470,5478,5485,5491,5512,
216,5460,5476,5484,5492,5499,5505,5526,
217,5475,5491,5498,5507,5514,5519,5541,
218,5489,5505,5513,5521,5528,5534,5555,
219,5503,5519,5527,5535,5542,5548,5570,
220,5518,5534,5541,5550,5557,5562,5584,
221,5532,5548,5556,5564,5571,5577,5599,
222,5546,5562,5570,5578,5585,5591,5613,
223,5560,5576,5584,5592,5600,5605,5628,
224,5575,5591,5599,5607,5614,5619,5642,
225,5589,5605,5613,5621,5628,5634,5657,
226,5603,5619,5627,5635,5642,5648,5672,
227,5618,5634,5642,5650,5657,5662,5686,
228,5632,5648,5656,5664,5671,5677,5701,
229,5646,5662,5670,5678,5685,5691,5715,
230,5661,5677,5685,5693,5700,5705,5730,
231,5675,5691,5699,5707,5714,5720,5744,
232,5689,5705,5713,5721,5728,5734,5759,
233,5703,5719,5727,5735,5742,5748,5774,
234,5712,5728,5736,5744,5751,5757,5782,
235,5721,5737,5745,5753,5760,5766,5791,
236,5730,5746,5754,5762,5769,5775,5800,
237,5739,5755,5763,5771,5778,5784,5809,
238,5748,5764,5772,5780,5787,5793,5817,
239,5757,5773,5781,5789,5796,5802,5826,
240,5766,5782,5790,5798,5805,5811,5835,
241,5775,5791,5799,5807,5814,5820,5843,
242,5784,5800,5808,5816,5823,5829,5852,
243,5793,5809,5817,5825,5832,5838,5861,
244,5802,5818,5826,5834,5841,5847,5870,
245,5811,5827,5835,5843,5850,5856,5878,
246,5820,5836,5844,5852,5860,5865,5887,
247,5829,5845,5853,5861,5869,5874,5896,
248,5838,5854,5862,5870,5878,5883,5905,
249,5847,5863,5871,5879,5887,5892,5913,
250,5856,5872,5880,5888,5896,5901,5922,
251,5865,5881,5889,5897,5905,5910,5931,
252,5874,5890,5898,5906,5914,5919,5939,
253,5883,5899,5907,5915,5923,5928,5948,
254,5892,5908,5916,5924,5932,5937,5957,
255,5901,5917,5925,5933,5941,5946,5966,
256,5910,5926,5934,5942,5950,5955,5974,
257,5919,5935,5943,5951,5959,5964,5983,
