KeyPointNum,17
KeyPointData,0,20,40,60,80,110,140,170,210,255,305,355,405,455,505,550,582,


ZoomNum,583
NormalMapNum,7
IRMapNum,0

,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,
Distance(mm),100,150,200,300,500,1000,6000,
0,1731,1760,1774,1786,1799,1807,1827,
1,1767,1796,1810,1822,1836,1844,1862,
2,1803,1833,1846,1858,1872,1880,1898,
3,1840,1869,1882,1895,1908,1917,1934,
4,1876,1906,1919,1931,1945,1953,1970,
5,1912,1942,1955,1967,1981,1990,2006,
6,1949,1978,1991,2003,2017,2026,2041,
7,1985,2014,2028,2039,2054,2062,2077,
8,2021,2051,2064,2075,2090,2098,2113,
9,2058,2087,2100,2111,2126,2134,2148,
10,2094,2124,2136,2147,2162,2171,2184,
11,2130,2160,2173,2184,2198,2207,2219,
12,2166,2197,2209,2220,2235,2244,2255,
13,2202,2233,2245,2256,2271,2280,2291,
14,2239,2270,2282,2292,2308,2317,2326,
15,2275,2306,2318,2328,2344,2353,2362,
16,2302,2333,2345,2355,2371,2380,2390,
17,2330,2360,2372,2382,2398,2407,2416,
18,2357,2386,2399,2410,2425,2434,2443,
19,2384,2414,2426,2437,2452,2461,2470,
20,2410,2441,2453,2464,2479,2488,2498,
21,2438,2468,2480,2491,2506,2515,2525,
22,2465,2495,2507,2518,2533,2542,2552,
23,2492,2522,2534,2546,2560,2569,2578,
24,2519,2549,2562,2573,2587,2596,2606,
25,2546,2576,2589,2599,2614,2623,2633,
26,2574,2603,2616,2626,2642,2650,2660,
27,2601,2630,2642,2654,2668,2677,2687,
28,2628,2657,2670,2681,2695,2704,2714,
29,2654,2684,2697,2708,2722,2731,2741,
30,2682,2711,2724,2735,2750,2758,2768,
31,2709,2738,2751,2762,2776,2785,2795,
32,2736,2766,2778,2790,2803,2812,2822,
33,2763,2792,2806,2817,2830,2839,2850,
34,2790,2819,2833,2844,2858,2866,2876,
35,2818,2846,2859,2871,2885,2893,2903,
36,2845,2874,2886,2898,2911,2920,2930,
37,2872,2901,2914,2926,2938,2947,2958,
38,2898,2927,2941,2953,2966,2974,2985,
39,2926,2954,2968,2980,2993,3001,3012,
40,2953,2982,2995,3007,3019,3028,3038,
41,2980,3009,3022,3034,3046,3055,3066,
42,3007,3035,3050,3062,3074,3082,3093,
43,3034,3062,3076,3089,3101,3109,3120,
44,3062,3090,3103,3116,3128,3136,3147,
45,3089,3117,3130,3142,3154,3163,3174,
46,3116,3144,3158,3170,3182,3190,3201,
47,3142,3170,3185,3197,3209,3217,3228,
48,3170,3198,3212,3224,3236,3244,3255,
49,3197,3225,3239,3251,3262,3271,3282,
50,3224,3252,3266,3278,3290,3298,3310,
51,3251,3279,3293,3306,3317,3325,3336,
52,3278,3306,3320,3333,3344,3352,3363,
53,3306,3333,3347,3360,3371,3379,3390,
54,3333,3360,3374,3387,3398,3406,3418,
55,3360,3387,3402,3414,3425,3433,3445,
56,3386,3414,3429,3442,3452,3460,3472,
57,3414,3441,3456,3469,3479,3487,3498,
58,3441,3468,3482,3496,3506,3514,3526,
59,3468,3495,3510,3523,3533,3541,3553,
60,3495,3522,3537,3550,3560,3568,3580,
61,3522,3550,3564,3578,3587,3595,3607,
62,3550,3576,3591,3605,3614,3622,3634,
63,3577,3603,3618,3632,3641,3649,3661,
64,3604,3630,3646,3658,3668,3676,3688,
65,3630,3658,3673,3686,3695,3703,3715,
66,3658,3685,3699,3713,3722,3730,3742,
67,3685,3711,3726,3740,3749,3757,3770,
68,3712,3738,3754,3767,3776,3784,3796,
69,3739,3766,3781,3794,3803,3811,3823,
70,3759,3786,3801,3814,3823,3831,3843,
71,3779,3806,3821,3834,3843,3851,3863,
72,3798,3825,3840,3854,3863,3871,3883,
73,3818,3845,3860,3874,3883,3891,3903,
