KeyPointNum,33
KeyPointData,20,100,200,300,400,500,600,700,800,900,940,960,980,1000,1020,1040,1060,1080,1100,1120,1140,1160,1180,1200,1220,1240,1260,1280,1300,1310,1320,1330,1334,


ZoomNum,1335
NormalMapNum,7
IRMapNum,7

,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,IRMap,IRMap,IRMap,IRMap,IRMap,IRMap,IRMap,
Distance(mm),100,200,300,500,1000,2000,6000,100,200,300,500,1000,2000,6000,
0,6048,6068,6075,6081,6085,6087,6089,6036,6057,6064,6069,6073,6076,6078,
1,6044,6064,6071,6076,6080,6082,6085,6032,6052,6059,6065,6069,6071,6073,
2,6039,6059,6066,6072,6076,6078,6080,6028,6048,6055,6060,6065,6067,6069,
3,6035,6055,6062,6067,6072,6074,6076,6023,6043,6050,6056,6060,6062,6065,
4,6030,6051,6057,6063,6067,6069,6071,6019,6039,6046,6052,6056,6058,6060,
5,6026,6046,6053,6059,6063,6065,6067,6014,6035,6042,6047,6052,6054,6056,
6,6022,6042,6049,6054,6058,6061,6063,6010,6030,6037,6043,6047,6049,6051,
7,6017,6037,6044,6050,6054,6056,6058,6005,6026,6033,6038,6043,6045,6047,
8,6013,6033,6040,6045,6050,6052,6054,6001,6021,6028,6034,6038,6041,6043,
9,6008,6028,6035,6041,6045,6047,6050,5996,6017,6024,6030,6034,6036,6038,
10,6004,6024,6031,6037,6041,6043,6045,5992,6013,6020,6025,6030,6032,6034,
11,5999,6020,6027,6032,6037,6039,6041,5987,6008,6015,6021,6025,6027,6030,
12,5995,6015,6022,6028,6032,6034,6036,5983,6004,6011,6016,6021,6023,6025,
13,5990,6011,6018,6023,6028,6030,6032,5979,5999,6006,6012,6016,6019,6021,
14,5986,6006,6013,6019,6023,6025,6028,5974,5995,6002,6008,6012,6014,6016,
15,5981,6002,6009,6015,6019,6021,6023,5970,5990,5998,6003,6008,6010,6012,
16,5977,5997,6005,6010,6015,6017,6019,5965,5986,5993,5999,6003,6005,6008,
17,5972,5993,6000,6006,6010,6012,6014,5961,5982,5989,5994,5999,6001,6003,
18,5968,5989,5996,6001,6006,6008,6010,5956,5977,5984,5990,5994,5997,5999,
19,5963,5984,5991,5997,6001,6003,6006,5952,5973,5980,5986,5990,5992,5994,
20,5959,5980,5987,5993,5997,5999,6001,5947,5968,5975,5981,5986,5988,5990,
21,5954,5975,5982,5988,5992,5995,5997,5943,5964,5971,5977,5981,5983,5986,
22,5950,5971,5978,5984,5988,5990,5992,5938,5959,5967,5972,5977,5979,5981,
23,5945,5966,5974,5979,5984,5986,5988,5934,5955,5962,5968,5972,5975,5977,
24,5941,5962,5969,5975,5979,5981,5984,5929,5950,5958,5963,5968,5970,5972,
25,5936,5957,5965,5970,5975,5977,5979,5925,5946,5953,5959,5964,5966,5968,
26,5932,5953,5960,5966,5970,5973,5975,5920,5942,5949,5955,5959,5961,5964,
27,5927,5949,5956,5962,5966,5968,5970,5916,5937,5944,5950,5955,5957,5959,
28,5923,5944,5951,5957,5962,5964,5966,5911,5933,5940,5946,5950,5952,5955,
29,5918,5940,5947,5953,5957,5959,5962,5907,5928,5935,5941,5946,5948,5950,
30,5914,5935,5942,5948,5953,5955,5957,5902,5924,5931,5937,5941,5944,5946,
31,5909,5931,5938,5944,5948,5950,5953,5898,5919,5927,5932,5937,5939,5941,
32,5905,5926,5933,5939,5944,5946,5948,5893,5915,5922,5928,5933,5935,5937,
33,5900,5922,5929,5935,5939,5942,5944,5889,5910,5918,5924,5928,5930,5933,
34,5896,5917,5925,5930,5935,5937,5939,5884,5906,5913,5919,5924,5926,5928,
35,5891,5913,5920,5926,5930,5933,5935,5880,5901,5909,5915,5919,5921,5924,
36,5887,5908,5916,5922,5926,5928,5931,5875,5897,5904,5910,5915,5917,5919,
37,5882,5904,5911,5917,5922,5924,5926,5871,5892,5900,5906,5910,5913,5915,
38,5878,5899,5907,5913,5917,5919,5922,5866,5888,5895,5901,5906,5908,5910,
39,5873,5895,5902,5908,5913,5915,5917,5862,5883,5891,5897,5901,5904,5906,
40,5869,5890,5898,5904,5908,5911,5913,5857,5879,5886,5892,5897,5899,5902,
41,5864,5886,5893,5899,5904,5906,5908,5853,5874,5882,5888,5893,5895,5897,
42,5860,5881,5889,5895,5899,5902,5904,5848,5870,5877,5883,5888,5890,5893,
43,5855,5877,5884,5890,5895,5897,5899,5843,5865,5873,5879,5884,5886,5888,
44,5851,5872,5880,5886,5890,5893,5895,5839,5861,5868,5875,5879,5881,5884,
45,5846,5868,5875,5881,5886,5888,5891,5834,5856,5864,5870,5875,5877,5879,
46,5842,5863,5871,5877,5881,5884,5886,5830,5852,5860,5866,5870,5873,5875,
47,5837,5859,5866,5872,5877,5879,5882,5825,5847,5855,5861,5866,5868,5870,
48,5832,5854,5862,5868,5873,5875,5877,5821,5843,5851,5857,5861,5864,5866,
49,5828,5850,5857,5863,5868,5870,5873,5816,5838,5846,5852,5857,5859,5862,
50,5823,5845,5853,5859,5864,5866,5868,5812,5834,5842,5848,5852,5855,5857,
51,5819,5841,5848,5855,5859,5861,5864,5807,5829,5837,5843,5848,5850,5853,
52,5814,5836,5844,5850,5855,5857,5859,5803,5825,5833,5839,5843,5846,5848,
53,5810,5832,5839,5846,5850,5853,5855,5798,5820,5828,5834,5839,5841,5844,
54,5805,5827,5835,5841,5846,5848,5850,5793,5816,5824,5830,5834,5837,5839,
55,5801,5823,5830,5837,5841,5844,5846,5789,5811,5819,5825,5830,5832,5835,
56,5796,5818,5826,5832,5837,5839,5841,5784,5807,5815,5821,5826,5828,5830,
57,5791,5814,5821,5828,5832,5835,5837,5780,5802,5810,5816,5821,5823,5826,
58,5787,5809,5817,5823,5828,5830,5832,5775,5798,5806,5812,5817,5819,5821,
59,5782,5805,5812,5819,5823,5826,5828,5771,5793,5801,5807,5812,5814,5817,
60,5778,5800,5808,5814,5819,5821,5824,5766,5789,5797,5803,5808,5810,5812,
61,5773,5796,5803,5810,5814,5817,5819,5762,5784,5792,5798,5803,5805,5808,
62,5769,5791,5799,5805,5810,5812,5815,5757,5780,5788,5794,5799,5801,5803,
63,5764,5787,5794,5801,5805,5808,5810,5752,5775,5783,5789,5794,5797,5799,
64,5759,5782,5790,5796,5801,5803,5806,5748,5771,5778,5785,5790,5792,5794,
65,5755,5777,5785,5791,5796,5799,5801,5743,5766,5774,5780,5785,5788,5790,
66,5750,5773,5781,5787,5792,5794,5797,5739,5762,5769,5776,5781,5783,5785,
67,5746,5768,5776,5782,5787,5790,5792,5734,5757,5765,5771,5776,5779,5781,
68,5741,5764,5772,5778,5783,5785,5788,5729,5752,5760,5767,5772,5774,5776,
69,5736,5759,5767,5773,5778,5781,5783,5725,5748,5756,5762,5767,5770,5772,
70,5732,5755,5763,5769,5774,5776,5779,5720,5743,5751,5758,5763,5765,5767,
71,5727,5750,5758,5764,5769,5772,5774,5716,5739,5747,5753,5758,5761,5763,
72,5723,5746,5753,5760,5765,5767,5770,5711,5734,5742,5749,5754,5756,5758,
73,5718,5741,5749,5755,5760,5763,5765,5706,5730,5738,5744,5749,5752,5754,
74,5713,5736,5744,5751,5756,5758,5760,5702,5725,5733,5740,5745,5747,5749,
75,5709,5732,5740,5746,5751,5754,5756,5697,5721,5729,5735,5740,5742,5745,
76,5704,5727,5735,5742,5747,5749,5751,5693,5716,5724,5731,5735,5738,5740,
77,5699,5723,5731,5737,5742,5744,5747,5688,5712,5720,5726,5731,5733,5736,
78,5695,5718,5726,5733,5737,5740,5742,5683,5707,5715,5722,5726,5729,5731,
79,5690,5714,5722,5728,5733,5735,5738,5679,5702,5710,5717,5722,5724,5727,
80,5686,5709,5717,5723,5728,5731,5733,5674,5698,5706,5712,5717,5720,5722,
81,5681,5704,5712,5719,5724,5726,5729,5670,5693,5701,5708,5713,5715,5718,
82,5676,5700,5708,5714,5719,5722,5724,5665,5689,5697,5703,5708,5711,5713,
83,5672,5695,5703,5710,5715,5717,5720,5660,5684,5692,5699,5704,5706,5709,
84,5667,5691,5699,5705,5710,5713,5715,5656,5680,5688,5694,5699,5702,5704,
85,5662,5686,5694,5701,5706,5708,5711,5651,5675,5683,5690,5695,5697,5700,
86,5658,5681,5690,5696,5701,5704,5706,5646,5670,5679,5685,5690,5693,5695,
87,5653,5677,5685,5692,5697,5699,5702,5642,5666,5674,5681,5686,5688,5691,
88,5649,5672,5680,5687,5692,5695,5697,5637,5661,5669,5676,5681,5684,5686,
89,5644,5668,5676,5682,5687,5690,5693,5633,5657,5665,5671,5677,5679,5682,
90,5639,5663,5671,5678,5683,5685,5688,5628,5652,5660,5667,5672,5675,5677,
91,5635,5659,5667,5673,5678,5681,5683,5623,5647,5656,5662,5667,5670,5673,
92,5630,5654,5662,5669,5674,5676,5679,5619,5643,5651,5658,5663,5665,5668,
93,5625,5649,5658,5664,5669,5672,5674,5614,5638,5647,5653,5658,5661,5663,
94,5621,5645,5653,5660,5665,5667,5670,5609,5634,5642,5649,5654,5656,5659,
95,5616,5640,5648,5655,5660,5663,5665,5605,5629,5637,5644,5649,5652,5654,
96,5611,5635,5644,5650,5656,5658,5661,5600,5624,5633,5640,5645,5647,5650,
97,5607,5631,5639,5646,5651,5653,5656,5595,5620,5628,5635,5640,5643,5645,
98,5602,5626,5635,5641,5646,5649,5651,5591,5615,5624,5630,5636,5638,5641,
99,5597,5622,5630,5637,5642,5644,5647,5586,5611,5619,5626,5631,5634,5636,
100,5593,5617,5625,5632,5637,5640,5642,5581,5606,5614,5621,5626,5629,5632,
101,5588,5612,5621,5627,5633,5635,5638,5577,5601,5610,5617,5622,5624,5627,
102,5583,5608,5616,5623,5628,5631,5633,5572,5597,5605,5612,5617,5620,5622,
103,5579,5603,5611,5618,5623,5626,5629,5567,5592,5601,5607,5613,5615,5618,
104,5574,5598,5607,5614,5619,5621,5624,5563,5588,5596,5603,5608,5611,5613,
105,5569,5594,5602,5609,5614,5617,5619,5558,5583,5591,5598,5603,5606,5609,
106,5565,5589,5598,5604,5610,5612,5615,5553,5578,5587,5594,5599,5602,5604,
107,5560,5585,5593,5600,5605,5608,5610,5549,5574,5582,5589,5594,5597,5600,
108,5555,5580,5588,5595,5600,5603,5606,5544,5569,5578,5584,5590,5592,5595,
109,5550,5575,5584,5591,5596,5598,5601,5539,5564,5573,5580,5585,5588,5590,
110,5546,5571,5579,5586,5591,5594,5597,5535,5560,5568,5575,5581,5583,5586,
111,5541,5566,5575,5581,5587,5589,5592,5530,5555,5564,5571,5576,5579,5581,
112,5536,5561,5570,5577,5582,5585,5587,5525,5550,5559,5566,5571,5574,5577,
113,5532,5557,5565,5572,5577,5580,5583,5521,5546,5554,5561,5567,5569,5572,
114,5527,5552,5561,5568,5573,5575,5578,5516,5541,5550,5557,5562,5565,5568,
115,5522,5547,5556,5563,5568,5571,5574,5511,5537,5545,5552,5558,5560,5563,
116,5518,5543,5551,5558,5564,5566,5569,5506,5532,5541,5548,5553,5556,5558,
117,5513,5538,5547,5554,5559,5562,5564,5502,5527,5536,5543,5548,5551,5554,
118,5508,5533,5542,5549,5554,5557,5560,5497,5523,5531,5538,5544,5546,5549,
119,5503,5529,5537,5544,5550,5552,5555,5492,5518,5527,5534,5539,5542,5545,
120,5499,5524,5533,5540,5545,5548,5550,5488,5513,5522,5529,5535,5537,5540,
121,5494,5519,5528,5535,5540,5543,5546,5483,5509,5517,5525,5530,5533,5535,
122,5489,5515,5523,5530,5536,5539,5541,5478,5504,5513,5520,5525,5528,5531,
123,5485,5510,5519,5526,5531,5534,5537,5473,5499,5508,5515,5521,5523,5526,
124,5480,5505,5514,5521,5527,5529,5532,5469,5495,5503,5511,5516,5519,5522,
125,5475,5501,5509,5517,5522,5525,5527,5464,5490,5499,5506,5511,5514,5517,
126,5470,5496,5505,5512,5517,5520,5523,5459,5485,5494,5501,5507,5510,5512,
127,5466,5491,5500,5507,5513,5515,5518,5455,5481,5490,5497,5502,5505,5508,
128,5461,5487,5495,5503,5508,5511,5513,5450,5476,5485,5492,5498,5500,5503,
