KeyPointNum,33
KeyPointData,20,100,180,260,340,420,500,580,660,740,820,890,940,980,1010,1040,1080,1120,1160,1200,1240,1280,1300,1320,1335,1345,1355,1365,1370,1375,1380,1385,1387,


ZoomNum,1395
NormalMapNum,7
IRMapNum,6

,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,NormalMap,IRMap,IRMap,IRMap,IRMap,IRMap,IRMap,
Distance(mm),100,150,200,300,500,1000,6000,150,200,300,500,1000,6000,
0,4075,4082,4086,4090,4093,4094,4096,4070,4074,4078,4081,4083,4096,
1,4075,4082,4086,4090,4093,4094,4096,4070,4074,4078,4081,4083,4086,
2,4073,4080,4083,4087,4090,4092,4093,4068,4072,4075,4078,4081,4083,
3,4070,4077,4080,4084,4088,4089,4091,4065,4069,4072,4076,4078,4080,
4,4067,4074,4078,4082,4085,4087,4088,4063,4067,4070,4073,4075,4078,
5,4065,4072,4075,4079,4082,4084,4086,4060,4064,4067,4070,4073,4075,
6,4062,4069,4072,4076,4080,4081,4083,4057,4061,4065,4068,4070,4073,
7,4059,4067,4070,4074,4077,4079,4080,4055,4059,4062,4065,4068,4070,
8,4057,4064,4067,4071,4075,4076,4078,4052,4056,4059,4063,4065,4067,
9,4054,4061,4065,4069,4072,4074,4075,4050,4054,4057,4060,4063,4065,
10,4051,4059,4062,4066,4069,4071,4073,4047,4051,4054,4057,4060,4062,
11,4049,4056,4059,4063,4067,4068,4070,4044,4048,4052,4055,4057,4060,
12,4046,4053,4057,4061,4064,4066,4067,4042,4046,4049,4052,4055,4057,
13,4043,4051,4054,4058,4062,4063,4065,4039,4043,4046,4050,4052,4054,
14,4041,4048,4051,4055,4059,4061,4062,4036,4040,4044,4047,4050,4052,
15,4038,4045,4049,4053,4056,4058,4060,4034,4038,4041,4045,4047,4049,
16,4035,4043,4046,4050,4054,4056,4057,4031,4035,4039,4042,4045,4047,
17,4033,4040,4044,4048,4051,4053,4055,4029,4033,4036,4039,4042,4044,
18,4030,4038,4041,4045,4048,4050,4052,4026,4030,4034,4037,4039,4042,
19,4027,4035,4038,4042,4046,4048,4049,4023,4027,4031,4034,4037,4039,
20,4025,4032,4036,4040,4043,4045,4047,4021,4025,4028,4032,4034,4036,
21,4022,4030,4033,4037,4041,4043,4044,4018,4022,4026,4029,4032,4034,
22,4019,4027,4030,4034,4038,4040,4042,4016,4020,4023,4026,4029,4031,
23,4017,4024,4028,4032,4035,4037,4039,4013,4017,4021,4024,4027,4029,
24,4014,4022,4025,4029,4033,4035,4036,4010,4014,4018,4021,4024,4026,
25,4011,4019,4023,4027,4030,4032,4034,4008,4012,4015,4019,4021,4023,
26,4009,4016,4020,4024,4028,4030,4031,4005,4009,4013,4016,4019,4021,
27,4006,4014,4017,4021,4025,4027,4029,4003,4007,4010,4013,4016,4018,
28,4003,4011,4015,4019,4022,4024,4026,4000,4004,4008,4011,4014,4016,
29,4001,4008,4012,4016,4020,4022,4023,3997,4001,4005,4008,4011,4013,
30,3998,4006,4010,4014,4017,4019,4021,3995,3999,4002,4006,4008,4010,
31,3996,4003,4007,4011,4015,4017,4018,3992,3996,4000,4003,4006,4008,
32,3993,4001,4004,4008,4012,4014,4016,3990,3994,3997,4000,4003,4005,
33,3990,3998,4002,4006,4009,4011,4013,3987,3991,3995,3998,4001,4003,
34,3988,3995,3999,4003,4007,4009,4010,3984,3988,3992,3995,3998,4000,
