BOM,LensType,ThirdPartyAF,PTType
0235C1YM,11,0,0
0235C1YN,11,0,0
0235C1YP,12,0,0
0235C1YQ,12,0,0
0235C1YR,22,0,0
0235C25Y,13,0,1
0235C260,13,0,1
0235C261,10,0,1
0235C262,10,0,1
0235C263,12,0,1
0235C264,12,0,1
0235T0VN,40,1,0
0235T0XJ,30,0,0
0235T0XK,30,0,0
0235T10H,22,0,0
0235T128,22,0,0
0235T175,12,0,1
0235T18M,10,0,1
0235T197,12,0,1
0235T1FP,31,0,1
0235T1G3,11,1,1
0235T1U3,10,0,1
0235T248,13,0,1
0235T2C7,22,1,1
0235T2YM,13,0,1
9802C00V,13,0,1
9802C00W,13,0,1
9802C00R,10,0,1
9802C00S,10,0,1
9802C00T,17,0,1
9802C00U,17,0,1
9802C02G,41,0,2
9802C02F,60,0,2
