Sensor,产品名,数字球机类型,xml,公共参数节点名,Reserved
,,,,,
SC2310,ET-S51H@B,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,ET-B31H-M@B,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,ET-B32L,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,ET-B32F,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,DET-231H-M-WH,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,DET-B31F-M-WH@TWD,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,ET-B31H-M-WH,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,ET-B31H-WH,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,DET-532L-WH,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,KTP-ET-B32L-WH@W,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,ET-B32L-WH@W-NB,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,OET-213H-WH,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,OET-223L-WH,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,OET-213H-NB-WH,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
SC2310,OET-223L-NB-WH,IPC,default_pic_ET-S51H_SC2310.xml,ET-S51H_SC2310,NULL
NotFound,UNIPC-C,IPC,default_pic_SC4210_HIC5.xml,SC4210_HIC5,NULL
