[11/12/01 00:00:16][0x76446450][   INFO] [GlobalExec_Processor0_HeartBeater] Heart Beater Created!
[11/12/01 00:00:17][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/faceRec_4110_fc256_Model_r37_3516x] CreatingAlgo... 
[11/12/01 00:00:40][0x78d3f450][   INFO] [Classification_HISI] Input Shape: [1, 3, 224, 224]
[11/12/01 00:00:40][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/faceRec_4110_fc256_Model_r37_3516x] AddSession: 0
[11/12/01 00:00:40][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/faceAlign5_Model_r37_3516x] CreatingAlgo... 
[11/12/01 00:00:40][0x78d3f450][   INFO] [Classification_HISI] Input Shape: [1, 3, 48, 48]
[11/12/01 00:00:41][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/faceAlign5_Model_r37_3516x] AddSession: 1
[11/12/01 00:00:41][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/Quality_Angle_71000_005_r37_3516x] CreatingAlgo... 
[11/12/01 00:00:41][0x78d3f450][   INFO] [Classification_HISI] Input Shape: [1, 3, 256, 256]
[11/12/01 00:00:41][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/Quality_Angle_71000_005_r37_3516x] AddSession: 2
[11/12/01 00:00:41][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/Liveness_1frame_Model_1004_33w_merge_specify_r37_3516x] CreatingAlgo... 
[11/12/01 00:00:41][0x78d3f450][   INFO] [Classification_HISI] Input Shape: [1, 3, 192, 192]
[11/12/01 00:00:41][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/Liveness_1frame_Model_1004_33w_merge_specify_r37_3516x] AddSession: 3
[11/12/01 00:00:41][0x78d3f450][   INFO] [Classification_HISI#/program/factory/models/model/STM_liveness_Model_spe_r37_3516x] CreatingAlgo... 
[11/12/01 00:00:42][0x78d3f450][   INFO] [Classification_HISI] Input Shape: [1, 3, 224, 224]
