  ThreadName                                                      ThreadID        FileName                        Line            
PID   USER     TIME   COMMAND
    1 root       0:01 init
    2 root       0:00 [kthreadd]
    3 root       0:00 [ksoftirqd/0]
    4 root       0:00 [kworker/0:0]
    5 root       0:00 [kworker/0:0H]
    6 root       0:00 [kworker/u4:0]
    7 root       0:00 [rcu_sched]
    8 root       0:00 [rcu_bh]
    9 root       0:00 [migration/0]
   10 root       0:00 [lru-add-drain]
   11 root       0:00 [cpuhp/0]
   12 root       0:00 [cpuhp/1]
   13 root       0:00 [migration/1]
   14 root       0:00 [ksoftirqd/1]
   15 root       0:00 [kworker/1:0]
   16 root       0:00 [kworker/1:0H]
   17 root       0:00 [kdevtmpfs]
   18 root       0:00 [netns]
   19 root       0:00 [oom_reaper]
   20 root       0:00 [writeback]
   21 root       0:00 [kcompactd0]
   22 root       0:00 [crypto]
   23 root       0:00 [bioset]
   24 root       0:00 [kblockd]
   25 root       0:00 [spi0]
   26 root       0:00 [spi1]
   27 root       0:00 [kworker/0:1]
   28 root       0:00 [spi2]
   29 root       0:00 [rpciod]
   30 root       0:00 [xprtiod]
   31 root       0:00 [kswapd0]
   32 root       0:00 [vmstat]
   33 root       0:00 [nfsiod]
   41 root       0:00 [bioset]
   42 root       0:00 [bioset]
   43 root       0:00 [bioset]
   44 root       0:00 [bioset]
   45 root       0:00 [bioset]
   46 root       0:00 [bioset]
   47 root       0:00 [bioset]
   48 root       0:00 [bioset]
   49 root       0:00 [bioset]
   50 root       0:00 [bioset]
   51 root       0:00 [bioset]
   52 root       0:00 [bioset]
   53 root       0:00 [bioset]
   54 root       0:00 [bioset]
   55 root       0:00 [bioset]
   56 root       0:00 [bioset]
   57 root       0:00 [kworker/u4:1]
   60 root       0:00 [kworker/0:2]
   61 root       0:00 [kworker/1:1]
   62 root       0:00 [ipv6_addrconf]
   63 root       0:00 [kworker/1:2]
   64 root       0:00 [kworker/1:3]
   65 root       0:00 [pl011_rts]
   80 root       0:00 udevd --daemon
  130 root       0:00 udevd --daemon
  131 root       0:00 udevd --daemon
  135 root       0:00 telnetd
  141 root       0:00 [bioset]
  142 root       0:02 [mmcqd/2]
  143 root       0:00 [bioset]
  144 root       0:00 [mmcqd/2boot0]
  145 root       0:00 [bioset]
  146 root       0:00 [mmcqd/2boot1]
  147 root       0:00 [bioset]
